Project,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
SimplCommerce,CheckoutApiController,4,4,0,0,4,89,10,0,0,0.5,12,0
SimplCommerce,InvoiceApiController,5,2,0,0,2,85,4,0,0,0,9,0
SimplCommerce,OrderApiController,4,8,0,0,8,425,43,0,0,0.25,17,0
SimplCommerce,OrderController,4,3,0,0,3,121,8,0,0,0,10,0
SimplCommerce,OrderHistoryApiController,1,2,0,0,2,26,2,0,0,0,2,0
SimplCommerce,AddressFormVm,0,0,12,0,0,18,0,0,1,-1,1,0
SimplCommerce,CartItemVm,3,0,0,3,0,6,0,0,0,-1,0,1
SimplCommerce,OrderDetailVm,1,1,28,0,1,36,1,0,0,0,3,4
SimplCommerce,OrderExportVm,0,0,57,0,0,60,0,1,0,-1,0,2
SimplCommerce,OrderHistoryListItem,1,1,6,0,1,14,1,0,0,0,3,1
SimplCommerce,OrderHistoryProductVm,0,0,6,0,0,12,0,0,0,-1,0,2
SimplCommerce,OrderItemVm,1,2,20,0,2,41,3,0,0,1,2,4
SimplCommerce,OrderLineExportVm,0,0,17,0,0,20,0,0,1,-1,1,1
SimplCommerce,OrderStatusForm,0,0,2,0,0,5,0,0,0,-1,0,1
SimplCommerce,OrderTaxAndShippingPriceVm,0,0,4,0,0,7,0,0,0,-1,1,0
SimplCommerce,OrderCustomModelBuilder,0,1,0,0,1,39,1,0,1,-1,4,0
SimplCommerce,AfterOrderCreated,0,1,1,0,1,8,1,0,0,-1,1,2
SimplCommerce,AfterOrderCreatedSendEmailHanlder,1,2,0,0,2,12,2,0,0,0,2,0
SimplCommerce,OrderChanged,0,0,6,0,0,9,0,0,0,-1,2,4
SimplCommerce,OrderChangedCreateOrderHistoryHandler,1,2,0,0,2,26,3,0,0,0,3,1
SimplCommerce,OrderCreated,0,1,1,0,1,8,1,0,0,-1,1,4
SimplCommerce,OrderCreatedClearCartHandler,1,2,0,0,2,20,4,0,0,0,2,1
SimplCommerce,OrderCreatedCreateOrderHistoryHandler,1,2,0,0,2,25,3,0,0,0,4,1
SimplCommerce,OrderDetailGot,0,0,1,0,0,4,0,0,0,-1,1,3
SimplCommerce,Order,0,2,31,0,2,55,2,0,1,-1,5,19
SimplCommerce,OrderAddress,0,0,12,0,0,22,0,0,1,-1,4,3
SimplCommerce,OrderHistory,0,0,9,0,0,13,0,0,1,-1,4,4
SimplCommerce,OrderItem,0,0,8,0,0,13,0,0,1,-1,3,5
SimplCommerce,OrderStatus,0,0,0,0,0,15,0,0,0,-1,0,14
SimplCommerce,ModuleInitializer,0,2,0,0,2,17,2,0,1,-1,12,0
SimplCommerce,IOrderEmailService,0,1,0,0,0,4,1,1,0,-1,2,3
SimplCommerce,IOrderService,0,4,0,0,0,7,4,1,0,-1,4,11
SimplCommerce,OrderCancellationBackgroundService,3,3,0,0,1,49,5,0,0,0,5,1
SimplCommerce,OrderEmailService,2,2,0,0,2,16,2,0,1,0,5,1
SimplCommerce,OrderService,11,7,0,0,5,346,33,0,1,0,27,1
SimplCommerce,CarouselWidgetViewComponent,2,2,0,0,2,30,7,0,0,0,4,0
SimplCommerce,MenuViewComponent,3,3,0,0,2,49,6,0,0,0,5,0
SimplCommerce,SpaceBarWidgetViewComponent,3,2,0,0,2,31,6,0,0,0,6,0
