Project,Design smell,Namespace,Class,File
SimplCommerce,Broken Modularization,SimplCommerce.Module.News.Models,NewsCategory,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.News\Models\NewsCategory.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.News.Models,NewsCategory,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.News\Models\NewsCategory.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.News.Models,NewsItem,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.News\Models\NewsItem.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.News.Models,NewsCategory,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.News\Models\NewsCategory.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.ProductComparison.Areas.ProductComparison.ViewModels,ComparingProductVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.ProductComparison\Areas\ProductComparison\ViewModels\ComparingProductVm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.ProductComparison.Models,ComparingProduct,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.ProductComparison\Models\ComparingProduct.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Contacts.Areas.Contacts.ViewModels,CompanyInformation,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Contacts\Areas\Contacts\ViewModels\CompanyInformation.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Contacts.Areas.Contacts.ViewModels,ContactForm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Contacts\Areas\Contacts\ViewModels\ContactForm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Contacts.Areas.Contacts.ViewModels,ContactVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Contacts\Areas\Contacts\ViewModels\ContactVm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Pricing.Areas.Pricing.ViewModels,CartRuleForm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Pricing\Areas\Pricing\ViewModels\CartRuleForm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Pricing.Models,CartRule,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Pricing\Models\CartRule.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Pricing.Models,CatalogRule,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Pricing\Models\CatalogRule.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Pricing.Services,CouponValidationResult,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Pricing\Services\CouponValidationResult.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Pricing.Services,DiscountedProduct,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Pricing\Services\DiscountedProduct.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Pricing.Models,CartRule,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Pricing\Models\CartRule.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Pricing.Models,CartRuleCustomerGroup,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Pricing\Models\CartRuleCustomerGroup.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Pricing.Models,CartRuleProduct,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Pricing\Models\CartRuleProduct.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Pricing.Models,CatalogRule,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Pricing\Models\CatalogRule.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Pricing.Models,Coupon,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Pricing\Models\Coupon.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Pricing.Models,CartRuleCategory,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Pricing\Models\CartRuleCategory.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Pricing.Models,CartRuleProduct,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Pricing\Models\CartRuleProduct.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Pricing.Models,Coupon,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Pricing\Models\Coupon.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Tax.Areas.Tax.ViewModels,TaxRateForm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Tax\Areas\Tax\ViewModels\TaxRateForm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Tax.Areas.Tax.ViewModels,TaxRateImport,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Tax\Areas\Tax\ViewModels\TaxRateImport.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Tax.Models,TaxRate,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Tax\Models\TaxRate.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.ShippingTableRate.Areas.ShippingTableRate.ViewModels,PriceAndDestinationForm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.ShippingTableRate\Areas\ShippingTableRate\ViewModels\PriceAndDestinationForm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.ShippingTableRate.Models,PriceAndDestination,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.ShippingTableRate\Models\PriceAndDestination.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Inventory.Areas.Inventory.ViewModels,MangeWarehouseProductItemVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Inventory\Areas\Inventory\ViewModels\MangeWarehouseProductItemVm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Inventory.Areas.Inventory.ViewModels,WarehouseVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Inventory\Areas\Inventory\ViewModels\WarehouseVm.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Inventory.Models,Stock,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Inventory\Models\Stock.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Inventory.Models,StockHistory,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Inventory\Models\StockHistory.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Inventory.Services,StockUpdateRequest,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Inventory\Services\StockUpdateRequest.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Shipments.Models,ShipmentItem,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Shipments\Models\ShipmentItem.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.Shipments.Services,ShipmentItemVm,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Shipments\Services\ShipmentItemVm.cs
SimplCommerce,Cyclically-dependent Modularization,SimplCommerce.Module.Shipments.Models,Shipment,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.Shipments\Models\Shipment.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.PaymentPaypalExpress.ViewModels,PaymentCreateRequest,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.PaymentPaypalExpress\ViewModels\PaymentCreateRequest.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.PaymentPaypalExpress.ViewModels,Transaction,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.PaymentPaypalExpress\ViewModels\PaymentCreateRequest.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.PaymentPaypalExpress.ViewModels,Details,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.PaymentPaypalExpress\ViewModels\PaymentCreateRequest.cs
SimplCommerce,Broken Modularization,SimplCommerce.Module.PaymentPaypalExpress.ViewModels,Shipping_Address,DesigniteProjects\SimplCommerce\src\Modules\SimplCommerce.Module.PaymentPaypalExpress\ViewModels\PaymentCreateRequest.cs
