Project,URL,Namespace,File,Line Count,Unutilized Abstraction,Unnecessary Abstraction,Duplicate Abstraction,Feature Envy,Deficient Encapsulation,Wide Hierarchy,Broken Hierarchy,Rebellious Hierarchy,Unfactored Hierarchy,Long Method,Complex Method,Long Parameter List,Long Statement,Empty Catch Block,Magic Number,Missing Default,Complex Conditional,Broken Modularization,Insufficient Modularization,Cyclically-dependent Modularization,Cyclic Hierarchy,Multipath Hierarchy,Long Identifier,Virtual Method Call from Constructor,Hub-like Modularization,Imperative Abstraction,Duplicate Code,Multifaceted Abstraction,Unexploited Encapsulation,Missing Hierarchy
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common.Helper.SM,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\SM\SM4_Context.cs,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\SerializeHelper.cs,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common.Helper,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\ShaHelper.cs,1096,1,0,1,0,2,0,0,0,0,0,0,0,0,0,127,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common.Helper,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\UnicodeHelper.cs,47,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common.Helper,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\UrlHelper.cs,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\UtilConvert.cs,312,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common.Helper,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\WeChatHelper.cs,310,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common.Helper,DesigniteProjects\Blog.Core\Blog.Core.Common\Helper\XmlHelper.cs,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Common.Https.HttpPolly,DesigniteProjects\Blog.Core\Blog.Core.Common\Https\HttpPolly\HttpPollyHelper.cs,354,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blog.Core,https://github.com/anjoy8/Blog.Core,Blog.Core.Hubs,DesigniteProjects\Blog.Core\Blog.Core.Common\Hubs\ChatHub.cs,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
