Project,Method,LOC,CC,PC
greenshot,GetColorAt,5,1,3
greenshot,SetColorAt,5,1,3
greenshot,SetColorAt,5,1,3
greenshot,FastChunkyBitmap,3,1,2
greenshot,GetColorAt,5,1,2
greenshot,GetColorAt,3,1,3
greenshot,SetColorAt,3,1,3
greenshot,GetColorIndexAt,4,1,2
greenshot,SetColorIndexAt,4,1,3
greenshot,SetColorAt,21,5,3
greenshot,Fast24RgbBitmap,2,1,2
greenshot,GetColorAt,4,1,2
greenshot,SetColorAt,6,1,3
greenshot,GetColorAt,6,1,3
greenshot,SetColorAt,6,1,3
greenshot,Fast32RgbBitmap,2,1,2
greenshot,GetColorAt,4,1,2
greenshot,SetColorAt,6,1,3
greenshot,GetColorAt,6,1,3
greenshot,SetColorAt,6,1,3
greenshot,Fast32ArgbBitmap,3,1,2
greenshot,GetColorAt,5,1,2
greenshot,SetColorAt,7,1,3
greenshot,GetColorAt,7,1,3
greenshot,SetColorAt,7,1,3
greenshot,GetBlendedColorAt,16,2,2
greenshot,FileDescriptor,31,3,1
greenshot,Read,14,3,1
greenshot,ReadFileNames,14,3,1
greenshot,GetFileContents,28,2,2
greenshot,GetIStream,14,1,1
greenshot,MakeFqFilenameSafe,6,1,1
greenshot,MakeFilenameSafe,11,3,1
greenshot,MakePathSafe,11,3,1
greenshot,GetFilenameWithoutExtensionFromPattern,3,1,1
greenshot,GetFilenameWithoutExtensionFromPattern,3,1,2
greenshot,GetFilenameFromPattern,3,1,2
greenshot,GetFilenameFromPattern,3,1,3
greenshot,GetFilename,8,2,2
greenshot,MatchVarEvaluator,11,1,6
