Project,Design smell,Namespace,Class,File,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,DrawableContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\DrawableContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,DrawableContainerList,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\DrawableContainerList.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,StepLabelContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\StepLabelContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,TextContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\TextContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing.Filters,IFilter,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Filters\IFilter.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing.Filters,MagnifierFilter,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Filters\MagnifierFilter.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Memento,AddElementMemento,DesigniteProjects\greenshot\src\Greenshot.Editor\Memento\AddElementMemento.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Memento,AddElementsMemento,DesigniteProjects\greenshot\src\Greenshot.Editor\Memento\AddElementsMemento.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Memento,DrawableContainerBoundsChangeMemento,DesigniteProjects\greenshot\src\Greenshot.Editor\Memento\DrawableContainerBoundsChangeMemento.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,CropContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\CropContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,CursorContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\CursorContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,DrawableContainerList,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\DrawableContainerList.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,EllipseContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\EllipseContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,FreehandContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\FreehandContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,IconContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\IconContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,ImageContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\ImageContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,LineContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\LineContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,RectangleContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\RectangleContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,StepLabelContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\StepLabelContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing.Fields,FieldAggregator,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Fields\FieldAggregator.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing.Filters,AbstractFilter,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Filters\AbstractFilter.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing.Filters,IFilter,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Filters\IFilter.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing.Filters,MagnifierFilter,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\Filters\MagnifierFilter.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Forms,ImageEditorForm,DesigniteProjects\greenshot\src\Greenshot.Editor\Forms\ImageEditorForm.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Helpers,BinaryFormatterHelper,DesigniteProjects\greenshot\src\Greenshot.Editor\Helpers\BinaryFormatterHelper.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Memento,DrawableContainerBoundsChangeMemento,DesigniteProjects\greenshot\src\Greenshot.Editor\Memento\DrawableContainerBoundsChangeMemento.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Destinations,EditorDestination,DesigniteProjects\greenshot\src\Greenshot.Editor\Destinations\EditorDestination.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,ArrowContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\ArrowContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,CursorContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\CursorContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,CursorContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\CursorContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,DrawableContainerList,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\DrawableContainerList.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,DrawableContainerList,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\DrawableContainerList.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,EllipseContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\EllipseContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,EllipseContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\EllipseContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,FilterContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\FilterContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,FreehandContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\FreehandContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,FreehandContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\FreehandContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,IconContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\IconContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,IconContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\IconContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,ImageContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\ImageContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,ImageContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\ImageContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,LineContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\LineContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,ObfuscateContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\ObfuscateContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,RectangleContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\RectangleContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,RectangleContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\RectangleContainer.cs,
greenshot,Cyclically-dependent Modularization,Greenshot.Editor.Drawing,StepLabelContainer,DesigniteProjects\greenshot\src\Greenshot.Editor\Drawing\StepLabelContainer.cs,
