Project,File Path,Line Count
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\Language.cs,766
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\LanguageChangedHandler.cs,6
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\LanguageFile.cs,80
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\LogHelper.cs,124
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\NetworkHelper.cs,790
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\ObjectExtensions.cs,118
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\PluginUtils.cs,218
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\QuantizerHelper.cs,771
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\RegistryKeyExtensions.cs,93
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\SimpleServiceProvider.cs,58
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\StringExtensions.cs,163
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\WindowCapture.cs,412
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\WindowDetails.cs,1696
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\WindowsEnumerator.cs,95
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\WindowsVersion.cs,70
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\WmInputLangChangeRequestFilter.cs,63
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\Enums\ClickActions.cs,42
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\Enums\ClipboardFormat.cs,36
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\Enums\ExifOrientations.cs,36
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\Enums\OutputFormat.cs,38
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\Enums\WindowCaptureMode.cs,35
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\FileFormatHandlers\FileFormatHandlerExtensions.cs,163
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\OAuth\LocalJsonReceiver.cs,203
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\OAuth\LocalServerCodeReceiver.cs,210
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\OAuth\OAuth2AuthorizeMode.cs,34
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\OAuth\OAuth2Helper.cs,441
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\OAuth\OAuth2Settings.cs,148
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\OAuth\OAuthSession.cs,726
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Core\OAuth\OAuthSignatureTypes.cs,32
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\AdjustEffect.cs,54
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\BorderEffect.cs,52
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\DropShadowEffect.cs,60
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\GrayscaleEffect.cs,43
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\IEffect.cs,46
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\InvertEffect.cs,43
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\MonochromeEffect.cs,51
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\ReduceColorsEffect.cs,70
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\ResizeCanvasEffect.cs,58
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\ResizeEffect.cs,54
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\RotateEffect.cs,69
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Effects\TornEdgeEffect.cs,75
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\Help\HelpFileLoader.cs,101
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\IEInterop\IHTMLBodyElement.cs,38
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\IEInterop\IHTMLCurrentStyle.cs,81
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\IEInterop\IHTMLDocument.cs,39
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\IEInterop\IHTMLDocument2.cs,85
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\IEInterop\IHTMLDocument3.cs,50
greenshot,DesigniteProjects\greenshot\src\Greenshot.Base\IEInterop\IHTMLDocument4.cs,35
